_id,_pct_missed,_judgments,_hidden,_contention,_pct_contested,_gold_pool,_are_these_two_sounds_similar,are_these_two_sounds_similar_gold,are_these_two_sounds_similar_gold_reason,query_id,result_id,query-preview-lq-ogg,query-preview-lq-mp3,result-preview-lq-ogg,result-preview-lq-mp3
954146908,0.03,38,false,"",0.0,,"",first_option,"Of course the two sounds are not identical but they share some similarities.
What makes them most similar is maybe that both have not concrete pitch and are rather continuous  and noise-like.",2155, 2155-140391, https://www.freesound.org/data/previews/2/2155_1198-lq.ogg, https://www.freesound.org/data/previews/2/2155_1198-lq.mp3, https://www.freesound.org/data/previews/140/140391_2512534-lq.ogg, https://www.freesound.org/data/previews/140/140391_2512534-lq.mp3
954147029,0.03,37,false,"",0.0,,"",first_option,"Of course the two sounds are not identical but they share some similarities.
What makes them most similar is maybe that both have not concrete pitch and are rather continuous  and noise-like.",2155, 2155-165116, https://www.freesound.org/data/previews/2/2155_1198-lq.ogg, https://www.freesound.org/data/previews/2/2155_1198-lq.mp3, https://www.freesound.org/data/previews/165/165116_1037961-lq.ogg, https://www.freesound.org/data/previews/165/165116_1037961-lq.mp3
954147098,0.11,38,false,"",0.0,,"",first_option,"Of course the two sounds are not identical but they share some similarities.
What makes them most similar is maybe that both have not concrete pitch and are rather continuous  and noise-like.",2155, 2155-165116, https://www.freesound.org/data/previews/2/2155_1198-lq.ogg, https://www.freesound.org/data/previews/2/2155_1198-lq.mp3, https://www.freesound.org/data/previews/165/165116_1037961-lq.ogg, https://www.freesound.org/data/previews/165/165116_1037961-lq.mp3
954147118,0.08,37,false,"",0.0,,"",first_option,"Of course the two sounds are not identical but they share some similarities.
What makes them most similar is maybe that both have not concrete pitch and are rather continuous  and noise-like.",2155, 2155-135003, https://www.freesound.org/data/previews/2/2155_1198-lq.ogg, https://www.freesound.org/data/previews/2/2155_1198-lq.mp3, https://www.freesound.org/data/previews/135/135003_1255040-lq.ogg, https://www.freesound.org/data/previews/135/135003_1255040-lq.mp3
954147215,0.00,36,false,"",0.0278,,"","first_option
second_option","Of course the two sounds are not identical but they share some similarities.
What makes them most similar is maybe that both have not concrete pitch and are rather continuous  and noise-like.",2155, 2155-167206, https://www.freesound.org/data/previews/2/2155_1198-lq.ogg, https://www.freesound.org/data/previews/2/2155_1198-lq.mp3, https://www.freesound.org/data/previews/167/167206_1050391-lq.ogg, https://www.freesound.org/data/previews/167/167206_1050391-lq.mp3
954147313,0.08,37,false,"",0.0,,"",first_option,"Of course the two sounds are not identical but they share some similarities.
What makes them most similar is maybe that both have not concrete pitch and are rather continuous  and noise-like.",2155, 2155-210827, https://www.freesound.org/data/previews/2/2155_1198-lq.ogg, https://www.freesound.org/data/previews/2/2155_1198-lq.mp3, https://www.freesound.org/data/previews/210/210827_1050391-lq.ogg, https://www.freesound.org/data/previews/210/210827_1050391-lq.mp3
954147559,0.22,36,false,"",0.0,,"",first_option,"Of course the two sounds are not identical but they share some similarities.
What makes them most similar is maybe that both have not concrete pitch and are rather continuous  and noise-like.",2155, 2155-326445, https://www.freesound.org/data/previews/2/2155_1198-lq.ogg, https://www.freesound.org/data/previews/2/2155_1198-lq.mp3, https://www.freesound.org/data/previews/326/326445_4415905-lq.ogg, https://www.freesound.org/data/previews/326/326445_4415905-lq.mp3
954147802,0.24,45,false,"",0.0,,"",first_option,"Of course the two sounds are not identical but they share some similarities.
What makes them most similar is maybe that both have not concrete pitch and are rather continuous  and noise-like. What makes them similar is maybe the impulsive character with sudden increases in loudness and rather shallow releases.",5560, 5560-30303, https://www.freesound.org/data/previews/5/5560_8043-lq.ogg, https://www.freesound.org/data/previews/5/5560_8043-lq.mp3, https://www.freesound.org/data/previews/30/30303_229898-lq.ogg, https://www.freesound.org/data/previews/30/30303_229898-lq.mp3
954147998,0.05,37,false,sounds are different...1 is from war other are just fireworks...plz...omg...you kidding,0.027,,"",first_option,"Of course the two sounds are not identical but they share some similarities.
 What makes them similar is maybe the impulsive character with sudden increases in loudness and rather shallow releases.",5560, 5560-199944, https://www.freesound.org/data/previews/5/5560_8043-lq.ogg, https://www.freesound.org/data/previews/5/5560_8043-lq.mp3, https://www.freesound.org/data/previews/199/199944_2196083-lq.ogg, https://www.freesound.org/data/previews/199/199944_2196083-lq.mp3
954148209,0.04,46,false,"",0.0,,"",first_option,"Of course the two sounds are not identical but they share some similarities.
 What makes them similar is maybe the impulsive character with sudden increases in loudness and rather shallow releases. The relase phase is also quite noise-like with higher frequencies and you do not hear a concrete pitch most of the time.",5560, 5560-239135, https://www.freesound.org/data/previews/5/5560_8043-lq.ogg, https://www.freesound.org/data/previews/5/5560_8043-lq.mp3, https://www.freesound.org/data/previews/239/239135_71257-lq.ogg, https://www.freesound.org/data/previews/239/239135_71257-lq.mp3
